sdf,area,t,u,u__x,u__t,u__x__x,u__t__t,wave_equation,true_wave_equation,pred_wave_equation,lambda_wave_equation,Points_0,Points_1,Points_2
1.2774323,0.000997331,3.7868097,-1.3404713,0.40409327,-0.1893754,1.338167,1.3385022,0.00033521652,0.0,0.00033521652,1.0,1.8641603,0.0,0.0
1.3932348,0.000997331,6.2648487,0.9665315,-0.17473075,1.0014575,-0.96843666,-0.96792775,0.00050890446,0.0,0.00050890446,1.0,1.7483578,0.0,0.0
0.42493412,0.000997331,1.0200052,0.5672606,-1.2534981,-0.13548996,-0.5691063,-0.56910133,4.9471855e-06,0.0,4.9471855e-06,1.0,2.7166586,0.0,0.0
0.24550667,0.000997331,2.6606278,-0.10320374,-0.41103497,-0.32800484,0.10401292,0.10383247,-0.00018045306,0.0,-0.00018045306,1.0,0.24550667,0.0,0.0
1.05103,0.000997331,3.9854248,-1.2254622,-0.7002764,0.072247624,1.2254742,1.225868,0.00039374828,0.0,0.00039374828,1.0,1.05103,0.0,0.0
0.53817356,0.000997331,4.143934,-0.7081793,-1.1856551,0.1568203,0.7103727,0.71033293,-3.9756298e-05,0.0,-3.9756298e-05,1.0,0.53817356,0.0,0.0
0.8435957,0.000997331,0.24877445,0.90797824,-0.8080896,0.5399394,-0.90770894,-0.9070585,0.0006504655,0.0,0.0006504655,1.0,2.297997,0.0,0.0
1.2637881,0.000997331,1.3232433,1.157768,0.3671383,-0.6908631,-1.1584477,-1.1585472,-9.942055e-05,0.0,-9.942055e-05,1.0,1.2637881,0.0,0.0
0.82572675,0.000997331,3.4128735,-0.9053575,-0.835112,-0.5119415,0.90597594,0.9056997,-0.00027626753,0.0,-0.00027626753,1.0,0.82572675,0.0,0.0
0.4586656,0.000997331,0.5955333,0.6149853,-1.244853,0.118512094,-0.6147916,-0.61507696,-0.00028538704,0.0,-0.00028538704,1.0,2.6829271,0.0,0.0
0.24655265,0.000997331,5.680077,0.062560335,-0.2462677,0.34128654,-0.053512685,-0.053404856,0.00010782853,0.0,0.00010782853,1.0,2.89504,0.0,0.0
0.34446132,0.000997331,5.5869617,0.042272806,0.11907897,0.4735039,-0.038782142,-0.03853845,0.00024369359,0.0,0.00024369359,1.0,0.34446132,0.0,0.0
0.122346,0.000997331,1.732915,0.100710765,-0.81879103,-0.13961563,-0.099005625,-0.099553406,-0.0005477816,0.0,-0.0005477816,1.0,3.0192466,0.0,0.0
0.523776,0.000997331,4.9877853,-0.34468982,-0.59852016,0.6176638,0.3406201,0.3406607,4.0590763e-05,0.0,4.0590763e-05,1.0,0.523776,0.0,0.0
0.41844797,0.000997331,0.88011324,0.57206,1.2866466,-0.054928586,-0.5736586,-0.5738231,-0.00016450882,0.0,-0.00016450882,1.0,0.41844797,0.0,0.0
0.12758379,0.000997331,3.6977835,-0.17531231,-1.3666654,-0.040962256,0.17441934,0.1741179,-0.0003014505,0.0,-0.0003014505,1.0,0.12758379,0.0,0.0
1.3435212,0.000997331,3.8694105,-1.3754857,0.3173136,-0.07959704,1.3729056,1.3730057,0.0001001358,0.0,0.0001001358,1.0,1.7980714,0.0,0.0
0.26095995,0.000997331,6.023831,0.1842008,-0.6826534,0.31912416,-0.1862054,-0.18612805,7.735193e-05,0.0,7.735193e-05,1.0,2.8806326,0.0,0.0
1.4454417,0.000997331,2.059381,0.41035607,0.05242732,-1.3420581,-0.41135383,-0.41154763,-0.0001938045,0.0,-0.0001938045,1.0,1.4454417,0.0,0.0
0.89207435,0.000997331,0.74459136,1.0999529,-0.88709646,0.04521563,-1.0997338,-1.0994395,0.00029432774,0.0,0.00029432774,1.0,2.2495184,0.0,0.0
1.3515195,0.000997331,4.1304464,-1.351789,-0.30117017,0.278498,1.3496593,1.349823,0.00016367435,0.0,0.00016367435,1.0,1.3515195,0.0,0.0
0.49885726,0.000997331,0.075271085,0.51306295,0.9415281,0.44099116,-0.51169986,-0.5126136,-0.0009137392,0.0,-0.0009137392,1.0,0.49885726,0.0,0.0
1.4457343,0.000997331,1.4458773,1.1080989,0.13955832,-0.86083686,-1.1079178,-1.1079113,6.4373016e-06,0.0,6.4373016e-06,1.0,1.4457343,0.0,0.0
0.6322645,0.000997331,1.6806242,0.5223386,0.7134444,-0.6523365,-0.52224904,-0.5223809,-0.00013184547,0.0,-0.00013184547,1.0,0.6322645,0.0,0.0
1.0491264,0.000997331,1.0388983,1.1869409,0.682448,-0.3075059,-1.1876819,-1.1877803,-9.8347664e-05,0.0,-9.8347664e-05,1.0,1.0491264,0.0,0.0
1.2114744,0.000997331,0.20584513,1.107788,0.4160948,0.72475433,-1.1078547,-1.108669,-0.00081431866,0.0,-0.00081431866,1.0,1.2114744,0.0,0.0
0.48917693,0.000997331,3.1767194,-0.4861311,-0.9129461,-0.45339626,0.4841751,0.4838648,-0.00031027198,0.0,-0.00031027198,1.0,0.48917693,0.0,0.0
0.8720951,0.000997331,0.8735035,1.0787597,-0.9059123,-0.09489857,-1.0789666,-1.0785506,0.00041604042,0.0,0.00041604042,1.0,2.2694976,0.0,0.0
1.0081578,0.000997331,5.1444297,-0.41398424,-0.26247567,1.1223674,0.4159967,0.4162708,0.00027409196,0.0,0.00027409196,1.0,1.0081578,0.0,0.0
0.05078817,0.000997331,2.791031,-0.030479344,-0.59481215,-0.06539993,0.03159973,0.031558555,-4.1175634e-05,0.0,-4.1175634e-05,1.0,0.05078817,0.0,0.0
1.5109171,0.000997331,2.642958,-0.39964727,-0.02453998,-1.3545654,0.4008159,0.40086645,5.054474e-05,0.0,5.054474e-05,1.0,1.5109171,0.0,0.0
0.06884,0.000997331,0.8269051,0.09702681,1.4102049,-0.0042037703,-0.096201286,-0.09588231,0.00031897426,0.0,0.00031897426,1.0,0.06884,0.0,0.0
1.2172424,0.000997331,0.9023343,1.3177202,-0.48606452,-0.15489796,-1.3168713,-1.3164486,0.00042271614,0.0,0.00042271614,1.0,1.9243503,0.0,0.0
0.7290131,0.000997331,3.0229764,-0.582584,-0.65249056,-0.74050903,0.5797302,0.5799766,0.0002464056,0.0,0.0002464056,1.0,0.7290131,0.0,0.0
1.0820748,0.000997331,6.0350127,0.63931274,0.3421244,1.072314,-0.6427781,-0.6426626,0.0001155138,0.0,0.0001155138,1.0,1.0820748,0.0,0.0
0.10960622,0.000997331,1.7137914,0.092475094,0.84175813,-0.12364194,-0.09174226,-0.09172331,1.8954277e-05,0.0,1.8954277e-05,1.0,0.10960622,0.0,0.0
0.37851775,0.000997331,6.0297976,0.26464212,0.664421,0.45229855,-0.25480208,-0.25429,0.0005120635,0.0,0.0005120635,1.0,0.37851775,0.0,0.0
0.21963924,0.000997331,4.1765647,-0.29883817,1.3383452,0.07716777,0.29863757,0.29878598,0.00014841557,0.0,0.00014841557,1.0,2.9219534,0.0,0.0
1.0126835,0.000997331,3.605521,-1.1383014,0.7096158,-0.3795368,1.1368232,1.1370308,0.00020766258,0.0,0.00020766258,1.0,2.128909,0.0,0.0
0.16504064,0.000997331,5.3969703,-0.023402492,-0.13924515,0.22948773,0.024582803,0.024736336,0.00015353225,0.0,0.00015353225,1.0,0.16504064,0.0,0.0
0.046596117,0.000997331,2.8291466,-0.030252168,-0.643283,-0.058879547,0.03158969,0.031537138,-5.255267e-05,0.0,-5.255267e-05,1.0,0.046596117,0.0,0.0
0.9021499,0.000997331,4.9424787,-0.58488417,-0.46362957,0.9427644,0.58508635,0.58545625,0.00036990643,0.0,0.00036990643,1.0,0.9021499,0.0,0.0
0.8316502,0.000997331,3.6946516,-1.0174627,-0.92672753,-0.24083261,1.0201873,1.0201901,2.861023e-06,0.0,2.861023e-06,1.0,0.8316502,0.0,0.0
0.72440374,0.000997331,4.0312123,-0.93269265,1.0529515,0.09769051,0.9354669,0.9351239,-0.00034296513,0.0,-0.00034296513,1.0,2.417189,0.0,0.0
1.1694204,0.000997331,0.4887452,1.2450426,-0.52854514,0.38063437,-1.2461387,-1.2461972,-5.853176e-05,0.0,-5.853176e-05,1.0,1.9721723,0.0,0.0
0.447103,0.000997331,2.169972,0.11319184,-0.23547961,-0.60025465,-0.11185676,-0.111546725,0.00031003356,0.0,0.00031003356,1.0,2.6944897,0.0,0.0
0.033019707,0.000997331,5.0421615,-0.020365188,-0.61962605,0.041161213,0.01764367,0.017519068,-0.00012460165,0.0,-0.00012460165,1.0,0.033019707,0.0,0.0
0.16917087,0.000997331,4.4111376,-0.21074116,1.2341292,0.11158411,0.20851968,0.20893848,0.00041879714,0.0,0.00041879714,1.0,2.972422,0.0,0.0
0.10086867,0.000997331,4.843957,-0.08625322,-0.85443085,0.113325,0.08239786,0.08237758,-2.028048e-05,0.0,-2.028048e-05,1.0,0.10086867,0.0,0.0
0.82810587,0.000997331,0.55645514,1.0146527,0.9311942,0.2363354,-1.0147948,-1.0152065,-0.00041162968,0.0,-0.00041162968,1.0,0.82810587,0.0,0.0
1.118322,0.000997331,6.040514,0.65728885,0.32152504,1.0887599,-0.6614818,-0.66139853,8.326769e-05,0.0,8.326769e-05,1.0,1.118322,0.0,0.0
0.9640779,0.000997331,1.1553937,1.0833672,-0.7513068,-0.41988328,-1.0838544,-1.083672,0.00018239021,0.0,0.00018239021,1.0,2.1775148,0.0,0.0
0.69007206,0.000997331,5.0929737,-0.35435125,0.42991915,0.82733506,0.3511408,0.35109234,-4.8458576e-05,0.0,-4.8458576e-05,1.0,2.4515207,0.0,0.0
0.6105798,0.000997331,2.9123502,-0.42786726,0.612197,-0.68918043,0.42458582,0.42465228,6.645918e-05,0.0,6.645918e-05,1.0,2.5310128,0.0,0.0
0.96032643,0.000997331,5.6588235,0.18595248,0.13063478,1.143814,-0.18824424,-0.18809196,0.00015227497,0.0,0.00015227497,1.0,0.96032643,0.0,0.0
1.3893784,0.000997331,6.0289016,0.7052973,0.12970223,1.199771,-0.7113349,-0.7117914,-0.00045651197,0.0,-0.00045651197,1.0,1.3893784,0.0,0.0
0.24064952,0.000997331,1.2650603,0.2987634,1.2181869,-0.15590459,-0.29712707,-0.2977633,-0.00063622,0.0,-0.00063622,1.0,0.24064952,0.0,0.0
1.290006,0.000997331,2.2502134,0.14368846,-0.041475095,-1.3523027,-0.14444233,-0.14468189,-0.00023955107,0.0,-0.00023955107,1.0,1.8515866,0.0,0.0
1.0611002,0.000997331,2.986538,-0.72780883,0.40753758,-0.9967485,0.72833896,0.72833425,-4.708767e-06,0.0,-4.708767e-06,1.0,2.0804925,0.0,0.0
1.042763,0.000997331,3.291046,-0.98285145,0.57318467,-0.72537744,0.98105174,0.9807783,-0.0002734661,0.0,-0.0002734661,1.0,2.0988297,0.0,0.0
0.5402815,0.000997331,5.34744,-0.108572006,-0.18164723,0.71764797,0.10410987,0.103838585,-0.0002712831,0.0,-0.0002712831,1.0,0.5402815,0.0,0.0
1.0476414,0.000997331,5.933881,0.5175121,-0.29988337,1.1098787,-0.51597476,-0.51613647,-0.0001617074,0.0,-0.0001617074,1.0,2.0939512,0.0,0.0
0.023918247,0.000997331,3.932554,-0.03382472,-1.4148794,0.00017148443,0.033617817,0.03373445,0.00011663139,0.0,0.00011663139,1.0,0.023918247,0.0,0.0
1.055653,0.000997331,2.0149286,0.41195166,-0.23378587,-1.1602509,-0.4129786,-0.41259858,0.0003800094,0.0,0.0003800094,1.0,2.0859396,0.0,0.0
0.29401353,0.000997331,3.1690078,-0.29772556,-0.98244774,-0.28164887,0.29690105,0.29672816,-0.00017288327,0.0,-0.00017288327,1.0,0.29401353,0.0,0.0
